# layer center[mm] area[cm2] mipsig sipm_noise S/N power[mW] fluence dose[kRad] inner outer
 4   1506 10.80  22.0   2.4  9.19  0.95 7.88e+12  26.5 1523 1490
 4   1539 11.28  21.9   2.3  9.57  0.87 7.18e+12  24.4 1556 1523
 4   1573 11.78  21.7   2.2  9.95  0.79 6.55e+12  22.4 1590 1556
 4   1608 12.31  21.5   2.1 10.33  0.72 5.98e+12  20.7 1625 1590
 4   1643 12.86  21.3   2.0 10.70  0.66 5.47e+12  19.2 1661 1625
 4   1680 13.43  21.1   1.9 11.07  0.61 5.02e+12  17.8 1698 1661
 4   1717 14.03  20.9   1.8 11.42  0.56 4.61e+12  16.7 1735 1698
 4   1755 14.66  20.7   1.8 11.76  0.51 4.24e+12  15.6 1774 1735
 4   1793 15.31  20.4   1.7 12.09  0.47 3.91e+12  14.7 1813 1774
 4   1833 15.99  20.1   1.6 12.40  0.44 3.61e+12  14.0 1853 1813
 4   1873 16.71  19.8   1.6 12.68  0.40 3.35e+12  13.3 1894 1853
 4   1915 17.45  19.5   1.5 12.94  0.38 3.12e+12  12.8 1935 1894
 4   1957 18.23  19.2   1.5 13.17  0.35 2.91e+12  12.3 1978 1935
 4   2000 19.04  18.8   1.4 13.37  0.33 2.72e+12  12.0 2022 1978
 4   2044 19.89  18.5   1.4 13.53  0.31 2.56e+12  11.7 2066 2022
 4   2089 20.78  18.1   1.3 13.64  0.29 2.42e+12  11.6 2112 2066
 4   2135 21.71  17.7   1.3 13.72  0.28 2.29e+12  11.5 2159 2112
 4   2182 22.68  17.3   1.3 13.74  0.26 2.19e+12  11.5 2206 2159
 4   2231 23.69  16.9   1.2 13.70  0.25 2.10e+12  11.7 2255 2206
 4   2280 24.74  16.5   1.2 13.61  0.24 2.02e+12  12.0 2305 2255
 4   2330 25.85  16.1   1.2 13.45  0.24 1.96e+12  12.4 2355 2305
 4   2381 27.00  15.6   1.2 13.23  0.23 1.92e+12  13.0 2407 2355
 4   2434 28.21  15.2   1.2 12.95  0.23 1.88e+12  13.8 2460 2407
 4   2488 29.46  14.7   1.2 12.59  0.23 1.87e+12  14.9 2515 2460
 5    912  3.96  19.5   6.4  3.04  6.82 5.65e+13 214.6  922  902
 5    932  4.14  19.9   6.1  3.26  6.20 5.14e+13 192.8  942  922
 5    952  4.32  20.3   5.8  3.49  5.63 4.67e+13 173.2  963  942
 5    973  4.51  20.7   5.5  3.73  5.11 4.24e+13 155.4  984  963
 5    995  4.71  21.1   5.3  3.99  4.64 3.84e+13 139.5 1006  984
 5   1017  4.92  21.5   5.0  4.27  4.20 3.48e+13 125.1 1028 1006
 5   1039  5.14  21.8   4.8  4.56  3.81 3.16e+13 112.2 1051 1028
 5   1062  5.37  22.2   4.6  4.86  3.45 2.86e+13 100.6 1074 1051
 5   1086  5.61  22.5   4.3  5.18  3.12 2.58e+13  90.2 1098 1074
 5   1110  5.86  22.7   4.1  5.51  2.82 2.34e+13  80.9 1122 1098
 5   1134  6.12  23.0   3.9  5.86  2.55 2.11e+13  72.5 1147 1122
 5   1159  6.40  23.2   3.7  6.22  2.31 1.91e+13  65.1 1172 1147
 5   1185  6.68  23.4   3.5  6.59  2.08 1.73e+13  58.4 1198 1172
 5   1211  6.98  23.5   3.4  6.98  1.88 1.56e+13  52.4 1224 1198
 5   1238  7.29  23.6   3.2  7.38  1.70 1.41e+13  47.1 1251 1224
 5   1265  7.62  23.7   3.0  7.79  1.54 1.27e+13  42.4 1279 1251
 5   1293  7.96  23.8   2.9  8.22  1.39 1.15e+13  38.1 1307 1279
 5   1321  8.31  23.8   2.7  8.65  1.25 1.04e+13  34.4 1336 1307
 5   1350  8.68  23.8   2.6  9.10  1.13 9.39e+12  31.0 1365 1336
 5   1380  9.07  23.7   2.5  9.55  1.03 8.49e+12  28.0 1395 1365
 5   1411  9.47  23.7   2.4 10.01  0.93 7.69e+12  25.4 1426 1395
 5   1442  9.90  23.6   2.3 10.48  0.84 6.96e+12  23.0 1457 1426
 5   1474 10.34  23.5   2.1 10.95  0.76 6.31e+12  20.9 1490 1457
 5   1506 10.80  23.3   2.0 11.43  0.69 5.72e+12  19.1 1523 1490
